observation_date,UNRATE
1948-01-01,3.8
1949-01-01,6.1
1950-01-01,5.2
1951-01-01,3.3
1952-01-01,3.0
1953-01-01,2.9
1954-01-01,5.6
1955-01-01,4.4
1956-01-01,4.1
1957-01-01,4.3
1958-01-01,6.8
1959-01-01,5.5
1960-01-01,5.5
1961-01-01,6.7
1962-01-01,5.6
1963-01-01,5.6
1964-01-01,5.2
1965-01-01,4.5
1966-01-01,3.8
1967-01-01,3.8
1968-01-01,3.6
1969-01-01,3.5
1970-01-01,5.0
1971-01-01,6.0
1972-01-01,5.6
1973-01-01,4.9
1974-01-01,5.6
1975-01-01,8.5
1976-01-01,7.7
1977-01-01,7.1
1978-01-01,6.1
1979-01-01,5.9
1980-01-01,7.2
1981-01-01,7.6
1982-01-01,9.7
1983-01-01,9.6
1984-01-01,7.5
1985-01-01,7.2
1986-01-01,7.0
1987-01-01,6.2
1988-01-01,5.5
1989-01-01,5.3
1990-01-01,5.6
1991-01-01,6.9
1992-01-01,7.5
1993-01-01,6.9
1994-01-01,6.1
1995-01-01,5.6
1996-01-01,5.4
1997-01-01,4.9
1998-01-01,4.5
1999-01-01,4.2
2000-01-01,4.0
2001-01-01,4.7
2002-01-01,5.8
2003-01-01,6.0
2004-01-01,5.5
2005-01-01,5.1
2006-01-01,4.6
2007-01-01,4.6
2008-01-01,5.8
2009-01-01,9.3
2010-01-01,9.6
2011-01-01,8.9
2012-01-01,8.1
2013-01-01,7.4
2014-01-01,6.2
2015-01-01,5.3
2016-01-01,4.9
2017-01-01,4.4
2018-01-01,3.9
2019-01-01,3.7
2020-01-01,8.1
2021-01-01,5.4
2022-01-01,3.6
2023-01-01,3.6
2024-01-01,4.0
2025-01-01,
